Record Length,20480,,Source,CH1
Sample Interval,CH1:0.0000399999990,,Second,Volt
,,,-0.39651998878,-0.00056,
,,,-0.39647999406,-0.00056,
,,,-0.39643999934,-0.00072,
,,,-0.39640000463,-0.00072,
,,,-0.39635998011,-0.00056,
,,,-0.39631998539,-0.00072,
,,,-0.39627999067,-0.00056,
,,,-0.39623999596,-0.00048,
,,,-0.39620000124,-0.00056,
,,,-0.39615997672,-0.00064,
,,,-0.39611998200,-0.00064,
,,,-0.39607998729,-0.00056,
,,,-0.39603999257,-0.00056,
,,,-0.39599999785,-0.00048,
,,,-0.39596000314,-0.00048,
,,,-0.39591997862,-0.00056,
,,,-0.39587998390,-0.00072,
,,,-0.39583998919,-0.00056,
,,,-0.39579999447,-0.00048,
,,,-0.39575999975,-0.00048,
,,,-0.39571997523,-0.00056,
,,,-0.39567998052,-0.00064,
,,,-0.39563998580,-0.00056,
,,,-0.39559999108,-0.00056,
,,,-0.39555999637,-0.00048,
,,,-0.39552000165,-0.00048,
,,,-0.39547997713,-0.00072,
,,,-0.39543998241,-0.00048,
,,,-0.39539998770,-0.00056,
,,,-0.39535999298,-0.00056,
,,,-0.39531999826,-0.00056,
,,,-0.39528000355,-0.00048,
,,,-0.39523997903,-0.00048,
,,,-0.39519998431,-0.00048,
,,,-0.39515998960,-0.00056,
,,,-0.39511999488,-0.00072,
,,,-0.39508000016,-0.00072,
,,,-0.39503997564,-0.00072,
,,,-0.39499998093,-0.00072,
,,,-0.39495998621,-0.00072,
,,,-0.39491999149,-0.00064,
,,,-0.39487999678,-0.00056,
,,,-0.39484000206,-0.00072,
,,,-0.39479997754,-0.00072,
,,,-0.39475998282,-0.00056,
,,,-0.39471998811,-0.00056,
,,,-0.39467999339,-0.00072,
,,,-0.39463999867,-0.00064,
,,,-0.39460000396,-0.00056,
,,,-0.39455997944,-0.00048,
,,,-0.39451998472,-0.00072,
,,,-0.39447999001,-0.00056,
,,,-0.39443999529,-0.00056,
,,,-0.39440000057,-0.00056,
,,,-0.39435997605,-0.00056,
,,,-0.39431998134,-0.00056,
,,,-0.39427998662,-0.00056,
