vce	Ie(Q1)
-1.860000000000043e+00	1.553782e-03
-1.850000000000042e+00	1.553362e-03
-1.840000000000042e+00	1.552941e-03
-1.830000000000042e+00	1.552521e-03
-1.820000000000042e+00	1.552100e-03
-1.810000000000042e+00	1.551680e-03
-1.800000000000042e+00	1.551259e-03
-1.790000000000042e+00	1.550838e-03
-1.780000000000042e+00	1.550418e-03
-1.770000000000042e+00	1.549997e-03
-1.760000000000042e+00	1.549577e-03
-1.750000000000042e+00	1.549156e-03
-1.740000000000042e+00	1.548736e-03
-1.730000000000042e+00	1.548315e-03
-1.720000000000042e+00	1.547894e-03
-1.710000000000042e+00	1.547474e-03
-1.700000000000042e+00	1.547053e-03
-1.690000000000042e+00	1.546633e-03
-1.680000000000042e+00	1.546212e-03
-1.670000000000042e+00	1.545792e-03
-1.660000000000042e+00	1.545371e-03
-1.650000000000042e+00	1.544950e-03
-1.640000000000042e+00	1.544530e-03
-1.630000000000042e+00	1.544109e-03
-1.620000000000042e+00	1.543689e-03
-1.610000000000042e+00	1.543268e-03
-1.600000000000042e+00	1.542847e-03
-1.590000000000042e+00	1.542427e-03
-1.580000000000042e+00	1.542006e-03
-1.570000000000042e+00	1.541586e-03
-1.560000000000042e+00	1.541165e-03
-1.550000000000042e+00	1.540745e-03
-1.540000000000042e+00	1.540324e-03
-1.530000000000042e+00	1.539903e-03
-1.520000000000042e+00	1.539483e-03
-1.510000000000042e+00	1.539062e-03
-1.500000000000042e+00	1.538642e-03
-1.490000000000042e+00	1.538221e-03
-1.480000000000042e+00	1.537801e-03
-1.470000000000042e+00	1.537380e-03
-1.460000000000042e+00	1.536959e-03
-1.450000000000042e+00	1.536539e-03
-1.440000000000042e+00	1.536118e-03
-1.430000000000042e+00	1.535698e-03
-1.420000000000042e+00	1.535277e-03
-1.410000000000042e+00	1.534857e-03
-1.400000000000042e+00	1.534436e-03
-1.390000000000042e+00	1.534015e-03
-1.380000000000042e+00	1.533595e-03
-1.370000000000042e+00	1.533174e-03
-1.360000000000042e+00	1.532754e-03
-1.350000000000042e+00	1.532333e-03
-1.340000000000042e+00	1.531912e-03
-1.330000000000042e+00	1.531492e-03
-1.320000000000042e+00	1.531071e-03
-1.310000000000042e+00	1.530651e-03
-1.300000000000042e+00	1.530230e-03
-1.290000000000042e+00	1.529810e-03
-1.280000000000042e+00	1.529389e-03
-1.270000000000042e+00	1.528968e-03
-1.260000000000042e+00	1.528548e-03
-1.250000000000042e+00	1.528127e-03
-1.240000000000042e+00	1.527707e-03
-1.230000000000042e+00	1.527286e-03
-1.220000000000042e+00	1.526866e-03
-1.210000000000042e+00	1.526445e-03
-1.200000000000042e+00	1.526024e-03
-1.190000000000042e+00	1.525604e-03
-1.180000000000042e+00	1.525183e-03
-1.170000000000042e+00	1.524763e-03
-1.160000000000042e+00	1.524342e-03
-1.150000000000042e+00	1.523922e-03
-1.140000000000042e+00	1.523501e-03
-1.130000000000042e+00	1.523080e-03
-1.120000000000042e+00	1.522660e-03
-1.110000000000042e+00	1.522239e-03
-1.100000000000042e+00	1.521819e-03
-1.090000000000042e+00	1.521398e-03
-1.080000000000042e+00	1.520978e-03
-1.070000000000042e+00	1.520557e-03
-1.060000000000042e+00	1.520136e-03
-1.050000000000042e+00	1.519716e-03
-1.040000000000042e+00	1.519295e-03
-1.030000000000042e+00	1.518875e-03
-1.020000000000042e+00	1.518454e-03
-1.010000000000042e+00	1.518034e-03
-1.000000000000042e+00	1.517613e-03
-9.900000000000417e-01	1.517192e-03
-9.800000000000417e-01	1.516772e-03
-9.700000000000417e-01	1.516351e-03
-9.600000000000417e-01	1.515931e-03
-9.500000000000417e-01	1.515510e-03
-9.400000000000417e-01	1.515090e-03
-9.300000000000417e-01	1.514669e-03
-9.200000000000417e-01	1.514248e-03
-9.100000000000417e-01	1.513828e-03
-9.000000000000417e-01	1.513407e-03
-8.900000000000416e-01	1.512987e-03
-8.800000000000416e-01	1.512566e-03
-8.700000000000416e-01	1.512146e-03
