vbe	Ib(Q1)
-4.219999999999997e-01	-3.052433e-08
-4.209999999999997e-01	-2.945859e-08
-4.199999999999997e-01	-2.843110e-08
-4.189999999999997e-01	-2.744046e-08
-4.179999999999997e-01	-2.648532e-08
-4.169999999999997e-01	-2.556438e-08
-4.159999999999997e-01	-2.467641e-08
-4.149999999999997e-01	-2.382018e-08
-4.139999999999997e-01	-2.299455e-08
-4.129999999999997e-01	-2.219840e-08
-4.119999999999997e-01	-2.143065e-08
-4.109999999999997e-01	-2.069026e-08
-4.099999999999997e-01	-1.997625e-08
-4.089999999999997e-01	-1.928765e-08
-4.079999999999997e-01	-1.862353e-08
-4.069999999999997e-01	-1.798301e-08
-4.059999999999997e-01	-1.736523e-08
-4.049999999999997e-01	-1.676936e-08
-4.039999999999997e-01	-1.619461e-08
-4.029999999999997e-01	-1.564021e-08
-4.019999999999997e-01	-1.510542e-08
-4.009999999999997e-01	-1.458954e-08
-4.000000000000000e-01	-1.409187e-08
