vbe	Ic(Q1)
-5.869999999999999e-01	-2.098706e-03
-5.859999999999999e-01	-2.019648e-03
-5.849999999999999e-01	-1.943553e-03
-5.839999999999999e-01	-1.870311e-03
-5.829999999999999e-01	-1.799816e-03
-5.819999999999999e-01	-1.731965e-03
-5.809999999999998e-01	-1.666662e-03
-5.799999999999998e-01	-1.603810e-03
-5.789999999999998e-01	-1.543319e-03
-5.779999999999998e-01	-1.485100e-03
-5.769999999999998e-01	-1.429069e-03
-5.759999999999998e-01	-1.375144e-03
-5.749999999999998e-01	-1.323248e-03
-5.739999999999998e-01	-1.273303e-03
-5.729999999999998e-01	-1.225237e-03
-5.719999999999998e-01	-1.178980e-03
-5.709999999999998e-01	-1.134464e-03
-5.699999999999998e-01	-1.091624e-03
-5.689999999999998e-01	-1.050397e-03
-5.679999999999998e-01	-1.010723e-03
-5.669999999999998e-01	-9.725434e-04
-5.659999999999998e-01	-9.358027e-04
-5.649999999999998e-01	-9.004467e-04
-5.639999999999998e-01	-8.664234e-04
-5.629999999999998e-01	-8.336828e-04
-5.619999999999998e-01	-8.021768e-04
-5.609999999999998e-01	-7.718591e-04
-5.599999999999998e-01	-7.426849e-04
-5.589999999999998e-01	-7.146113e-04
-5.579999999999998e-01	-6.875970e-04
-5.569999999999998e-01	-6.616021e-04
-5.559999999999998e-01	-6.365883e-04
-5.549999999999998e-01	-6.125187e-04
-5.539999999999998e-01	-5.893577e-04
-5.529999999999998e-01	-5.670712e-04
-5.519999999999998e-01	-5.456262e-04
-5.509999999999998e-01	-5.249911e-04
-5.499999999999998e-01	-5.051354e-04
-5.489999999999998e-01	-4.860296e-04
-5.479999999999998e-01	-4.676456e-04
-5.469999999999998e-01	-4.499561e-04
-5.459999999999998e-01	-4.329350e-04
-5.449999999999998e-01	-4.165571e-04
-5.439999999999998e-01	-4.007980e-04
-5.429999999999998e-01	-3.856346e-04
-5.419999999999998e-01	-3.710443e-04
-5.409999999999998e-01	-3.570055e-04
-5.399999999999998e-01	-3.434973e-04
-5.389999999999998e-01	-3.304998e-04
-5.379999999999998e-01	-3.179937e-04
-5.369999999999998e-01	-3.059605e-04
-5.359999999999998e-01	-2.943822e-04
-5.349999999999998e-01	-2.832418e-04
-5.339999999999998e-01	-2.725227e-04
-5.329999999999998e-01	-2.622089e-04
-5.319999999999998e-01	-2.522852e-04
-5.309999999999998e-01	-2.427368e-04
-5.299999999999998e-01	-2.335496e-04
-5.289999999999998e-01	-2.247099e-04
-5.279999999999998e-01	-2.162046e-04
-5.269999999999998e-01	-2.080211e-04
-5.259999999999998e-01	-2.001471e-04
-5.249999999999998e-01	-1.925710e-04
-5.239999999999998e-01	-1.852816e-04
-5.229999999999998e-01	-1.782679e-04
-5.219999999999998e-01	-1.715196e-04
-5.209999999999998e-01	-1.650267e-04
-5.199999999999998e-01	-1.587795e-04
-5.189999999999998e-01	-1.527686e-04
-5.179999999999998e-01	-1.469852e-04
-5.169999999999998e-01	-1.414207e-04
-5.159999999999998e-01	-1.360668e-04
-5.149999999999998e-01	-1.309154e-04
-5.139999999999998e-01	-1.259591e-04
-5.129999999999998e-01	-1.211903e-04
-5.119999999999998e-01	-1.166020e-04
-5.109999999999998e-01	-1.121874e-04
-5.099999999999998e-01	-1.079398e-04
-5.089999999999998e-01	-1.038531e-04
-5.079999999999998e-01	-9.992098e-05
-5.069999999999998e-01	-9.613774e-05
-5.059999999999998e-01	-9.249771e-05
-5.049999999999998e-01	-8.899547e-05
-5.039999999999998e-01	-8.562580e-05
-5.029999999999998e-01	-8.238369e-05
-5.019999999999998e-01	-7.926431e-05
-5.009999999999998e-01	-7.626302e-05
-4.999999999999998e-01	-7.337535e-05
-4.989999999999998e-01	-7.059700e-05
