vbe	Ie(Q1)
-5.099999999999998e-01	1.087165e-04
-5.089999999999998e-01	1.046010e-04
-5.079999999999998e-01	1.006413e-04
-5.069999999999998e-01	9.683148e-05
-5.059999999999998e-01	9.316584e-05
-5.049999999999998e-01	8.963894e-05
-5.039999999999998e-01	8.624553e-05
-5.029999999999998e-01	8.298058e-05
-5.019999999999998e-01	7.983920e-05
-5.009999999999998e-01	7.681673e-05
-4.999999999999998e-01	7.390867e-05
-4.989999999999998e-01	7.111068e-05
-4.979999999999998e-01	6.841861e-05
-4.969999999999998e-01	6.582845e-05
-4.959999999999998e-01	6.333633e-05
-4.949999999999998e-01	6.093855e-05
-4.939999999999998e-01	5.863154e-05
-4.929999999999998e-01	5.641187e-05
-4.919999999999998e-01	5.427622e-05
-4.909999999999998e-01	5.222141e-05
-4.899999999999998e-01	5.024440e-05
-4.889999999999998e-01	4.834223e-05
-4.879999999999998e-01	4.651207e-05
-4.869999999999998e-01	4.475120e-05
-4.859999999999998e-01	4.305699e-05
-4.849999999999998e-01	4.142691e-05
-4.839999999999998e-01	3.985855e-05
-4.829999999999998e-01	3.834957e-05
-4.819999999999998e-01	3.689771e-05
-4.809999999999998e-01	3.550082e-05
-4.799999999999998e-01	3.415681e-05
-4.789999999999998e-01	3.286369e-05
-4.779999999999998e-01	3.161952e-05
-4.769999999999998e-01	3.042245e-05
-4.759999999999998e-01	2.927071e-05
-4.749999999999998e-01	2.816257e-05
-4.739999999999998e-01	2.709639e-05
-4.729999999999998e-01	2.607057e-05
-4.719999999999998e-01	2.508359e-05
-4.709999999999998e-01	2.413397e-05
-4.699999999999998e-01	2.322031e-05
-4.689999999999998e-01	2.234124e-05
-4.679999999999997e-01	2.149545e-05
-4.669999999999997e-01	2.068168e-05
-4.659999999999997e-01	1.989873e-05
-4.649999999999997e-01	1.914541e-05
-4.639999999999997e-01	1.842062e-05
-4.629999999999997e-01	1.772327e-05
-4.619999999999997e-01	1.705232e-05
-4.609999999999997e-01	1.640677e-05
-4.599999999999997e-01	1.578566e-05
-4.589999999999997e-01	1.518807e-05
-4.579999999999997e-01	1.461310e-05
-4.569999999999997e-01	1.405991e-05
-4.559999999999997e-01	1.352765e-05
-4.549999999999997e-01	1.301555e-05
-4.539999999999997e-01	1.252284e-05
-4.529999999999997e-01	1.204878e-05
-4.519999999999997e-01	1.159267e-05
-4.509999999999997e-01	1.115382e-05
-4.499999999999997e-01	1.073159e-05
-4.489999999999997e-01	1.032535e-05
-4.479999999999997e-01	9.934490e-06
-4.469999999999997e-01	9.558426e-06
-4.459999999999997e-01	9.196599e-06
-4.449999999999997e-01	8.848471e-06
-4.439999999999997e-01	8.513523e-06
-4.429999999999997e-01	8.191257e-06
-4.419999999999997e-01	7.881191e-06
-4.409999999999997e-01	7.582864e-06
-4.399999999999997e-01	7.295832e-06
-4.389999999999997e-01	7.019666e-06
-4.379999999999997e-01	6.753956e-06
-4.369999999999997e-01	6.498305e-06
-4.359999999999997e-01	6.252333e-06
-4.349999999999997e-01	6.015673e-06
-4.339999999999997e-01	5.787973e-06
-4.329999999999997e-01	5.568893e-06
-4.319999999999997e-01	5.358107e-06
-4.309999999999997e-01	5.155301e-06
-4.299999999999997e-01	4.960173e-06
-4.289999999999997e-01	4.772432e-06
-4.279999999999997e-01	4.591798e-06
-4.269999999999997e-01	4.418003e-06
-4.259999999999997e-01	4.250787e-06
-4.249999999999997e-01	4.089902e-06
-4.239999999999997e-01	3.935107e-06
-4.229999999999997e-01	3.786172e-06
-4.219999999999997e-01	3.642875e-06
-4.209999999999997e-01	3.505003e-06
-4.199999999999997e-01	3.372350e-06
-4.189999999999997e-01	3.244719e-06
-4.179999999999997e-01	3.121920e-06
-4.169999999999997e-01	3.003769e-06
-4.159999999999997e-01	2.890091e-06
-4.149999999999997e-01	2.780716e-06
-4.139999999999997e-01	2.675482e-06
-4.129999999999997e-01	2.574231e-06
-4.119999999999997e-01	2.476813e-06
-4.109999999999997e-01	2.383082e-06
-4.099999999999997e-01	2.292900e-06
-4.089999999999997e-01	2.206132e-06
-4.079999999999997e-01	2.122647e-06
-4.069999999999997e-01	2.042323e-06
-4.059999999999997e-01	1.965040e-06
-4.049999999999997e-01	1.890682e-06
-4.039999999999997e-01	1.819138e-06
-4.029999999999997e-01	1.750303e-06
-4.019999999999997e-01	1.684073e-06
-4.009999999999997e-01	1.620350e-06
-4.000000000000000e-01	1.559039e-06
